cycle,lsm_cutoff,masld_n,low_fib4_n,lsm_elevated_n,discordant_n,lsm_elevated_percent,lsm_elevated_ci_lower,lsm_elevated_ci_upper,discordant_in_masld_percent,discordant_in_masld_ci_lower,discordant_in_masld_ci_upper,lsm_elevated_among_low_fib4_percent,lsm_elevated_among_low_fib4_ci_lower,lsm_elevated_among_low_fib4_ci_upper,low_fib4_among_lsm_percent,low_fib4_among_lsm_ci_lower,low_fib4_among_lsm_ci_upper,design_df,single_psu_strata
2017-2020,8.0,2785,2347,470,354,16.65963582663523,13.71161204630832,19.60765960696214,13.321169586956563,10.70181171409907,15.940527459814055,15.423579230753637,12.463038671506538,18.384119790000735,79.96074899583839,75.09879823007792,84.82269976159884,25,0
2017-2020,8.6,2785,2347,385,284,14.020996048283704,11.119620619817931,16.922371476749476,10.99142083086065,8.32817937112002,13.654662290601276,12.726138567391839,9.711009366630966,15.741267768152714,78.39258204630973,72.256207255296,84.52895683732346,25,0
2017-2020,10.0,2785,2347,266,186,9.618452542384842,7.347709942609984,11.8891951421597,7.220482377605003,5.261041187826714,9.179923567383293,8.360052869854236,6.094356255398472,10.625749484309999,75.06906486035147,68.3390840490678,81.79904567163516,25,0
2021-2023,8.0,1757,1467,368,281,20.402638110488645,18.316022415087456,22.489253805889835,16.400638554881464,14.339385773067676,18.461891336695253,18.929489175693455,16.521492096656388,21.337486254730525,80.38489172853673,77.18984274693497,83.57994071013847,15,0
2021-2023,8.6,1757,1467,304,227,17.125803576119512,15.266159508689253,18.985447643549776,13.462160274631549,11.486805713145937,15.437514836117161,15.537920450313228,13.197760662079327,17.878080238547128,78.60746629958662,73.78425928804855,83.43067331112468,15,0
2021-2023,10.0,1757,1467,217,160,12.28984788895917,10.773430859881994,13.806264918036346,9.630492091601457,8.201010315967082,11.059973867235833,11.115438901634203,9.410241893678158,12.820635909590248,78.36136117073674,72.77938278109602,83.94333956037747,15,0
