cycle,adult_n,complete_n,excluded_n,weighted_complete_percent,weighted_complete_ci_lower,weighted_complete_ci_upper
2017-2020,8544,6878,1666,83.11726040186899,81.78006608751,84.45445471622797
2021-2023,6064,4741,1323,79.51322692348631,77.91823697959298,81.10821686737965
