"cycle","eligible_low_fib4_n","model_n","excluded_for_missing_covariates_n","excluded_for_missing_covariates_percent","event_n","design_df","max_absolute_predictor_correlation","convergence"
"2017-2020",2347,2150,197,8.3936940775458,331,25,0.410982361367749,TRUE
"2021-2023",1467,1433,34,2.31765507839127,274,15,0.373329624249435,TRUE
