"cycle","variable","label","adjusted_or","ci_lower","ci_upper","p_value","design_df"
"2017-2020","age_10","Age, per 10 years",1.01702077638602,0.852963784421897,1.21263209352065,0.844960266190548,25
"2017-2020","female","Female vs male",0.614789975793339,0.407832234594868,0.926770084055368,0.0220604922645588,25
"2017-2020","bmi_5","BMI, per 5 kg/m2",1.84422096136225,1.60082059654116,2.12462968159997,3.1480288420798e-09,25
"2017-2020","diabetes","Diabetes",3.17903535382212,2.04670726619656,4.93781692563766,1.29696836587376e-05,25
"2017-2020","tg_50","Triglycerides, per 50 mg/dL",1.01676836278711,0.917316292273522,1.12700266230147,0.742111573964045,25
"2017-2020","hdl_10","HDL-C, per 10 mg/dL",1.00990366347181,0.847126325179603,1.20395905448641,0.908988022287476,25
"2017-2020","sbp_10","Systolic BP, per 10 mmHg",1.03946177415254,0.885855005308302,1.21970387190882,0.622499035066611,25
"2017-2020","cap_10","CAP, per 10 dB/m",1.0569321505356,1.0056449162792,1.11083500025933,0.0305586227037234,25
"2021-2023","age_10","Age, per 10 years",1.1493836301128,1.01224303733284,1.3051042886422,0.0338117049352981,15
"2021-2023","female","Female vs male",0.828257912227305,0.594530230484396,1.1538709623028,0.244496115259048,15
"2021-2023","bmi_5","BMI, per 5 kg/m2",1.89614260680081,1.52520701218635,2.35729101466135,1.51568506546566e-05,15
"2021-2023","diabetes","Diabetes",1.49840370945113,0.95145562244888,2.35976710161017,0.0771239159327618,15
"2021-2023","tg_50","Triglycerides, per 50 mg/dL",0.978914499481016,0.931735395968905,1.02848255141973,0.372342221959539,15
"2021-2023","hdl_10","HDL-C, per 10 mg/dL",0.812219483940371,0.655862382602621,1.00585200126056,0.0557846011806938,15
"2021-2023","sbp_10","Systolic BP, per 10 mmHg",1.04665853477741,0.943386276620214,1.16123598103114,0.364261101898559,15
"2021-2023","cap_10","CAP, per 10 dB/m",1.07489973618783,1.01063501087801,1.14325095649801,0.0246413400529612,15
