cycle,lsm_cutoff,masld_n,etiology_complete_masld_n,etiology_complete_low_fib4_n,discordant_n,etiology_incomplete_percent,etiology_incomplete_ci_lower,etiology_incomplete_ci_upper,lsm_elevated_among_low_fib4_percent,lsm_elevated_among_low_fib4_ci_lower,lsm_elevated_among_low_fib4_ci_upper
2017-2020,8.0,2785,2057,1772,257,21.375378127372528,19.06108269575443,23.68967355899063,15.409715015511066,12.30004980856005,18.519380222462082
2017-2020,8.6,2785,2057,1772,205,21.375378127372528,19.06108269575443,23.68967355899063,12.79148705206023,9.474512141342744,16.108461962777714
2017-2020,10.0,2785,2057,1772,137,21.375378127372528,19.06108269575443,23.68967355899063,8.542250020294158,6.009169118625303,11.075330921963014
2021-2023,8.0,1757,1240,1042,201,27.262832345774495,24.859124400800344,29.66654029074865,18.76590977785055,16.31917214254037,21.21264741316073
2021-2023,8.6,1757,1240,1042,157,27.262832345774495,24.859124400800344,29.66654029074865,14.908354640080029,12.330420454963559,17.4862888251965
2021-2023,10.0,1757,1240,1042,109,27.262832345774495,24.859124400800344,29.66654029074865,10.365021211948324,8.163736614203268,12.566305809693382
