cycle,age_group,fib4_rule,subgroup_n,low_fib4_n,discordant_n,low_fib4_percent,low_fib4_ci_lower,low_fib4_ci_upper,lsm_elevated_among_low_fib4_percent,lsm_elevated_among_low_fib4_ci_lower,lsm_elevated_among_low_fib4_ci_upper
2017-2020,≤65 years,Age-adjusted,2087,1815,265,88.85461275237982,87.12706530569258,90.58216019906706,15.532619165994918,11.970922146834653,19.094316185155183
2017-2020,≤65 years,Fixed FIB-4 <1.3,2087,1815,265,88.85461275237982,87.12706530569258,90.58216019906706,15.532619165994918,11.970922146834653,19.094316185155183
2017-2020,>65 years,Age-adjusted,698,532,89,77.6623553854697,73.56923267093029,81.7554781000091,14.986619957228358,10.83381042842124,19.13942948603548
2017-2020,>65 years,Fixed FIB-4 <1.3,698,218,36,30.517298421754134,25.166356756641783,35.868240086866486,16.52559953668612,7.781272762153958,25.26992631121828
2021-2023,≤65 years,Age-adjusted,1227,1045,195,88.84521958156107,87.20660638271882,90.4838327804033,18.4980989626292,15.826995987175527,21.169201938082875
2021-2023,≤65 years,Fixed FIB-4 <1.3,1227,1045,195,88.84521958156107,87.20660638271882,90.4838327804033,18.4980989626292,15.826995987175527,21.169201938082875
2021-2023,>65 years,Age-adjusted,530,422,86,78.01481924827789,74.4729770706722,81.55666142588358,20.851750055919645,17.43318439916922,24.270315712670072
2021-2023,>65 years,Fixed FIB-4 <1.3,530,172,31,28.664072091362502,23.541987359468518,33.78615682325648,17.9842800561293,11.95128508361034,24.01727502864826
